bibtex_key,title,selection_criteria,status,comments
8322269,"Elastic Parity Logging for SSD RAID Arrays: Design, Analysis, and Implementation",S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(EPLOG)]-[Storage Systems-RAIDMD-RAID1-RAID4-RAID5-RAID6[O.S.(Linux)][rsee(1s)]]-[SSD&HDD]
[parity logging]-[N]-[SPC(Financial)&MSR(WEB&USR&MDS)]"
Liu20141708,Model-driven data layout selection for improving read performance,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[Parallel I/O performance model-driven strategy]-[Storage Systems[File System(Lustre)][rhee(Hopper Cray XE6)]]-[HDD]
[data management]-[N]-[synthetic]"
7723574,Pre-Emptive Garbage Collection for SSD RAID,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[Pre-Emptive Garbage Collection]-[Storage Systems-RAIS[simulator(MICROSOFTSSDSIM-mv)][ssee(MICROSOFTSSDSIM-mv)]]-[SSD]
[garbage collector]-[N]-[SPC(Financial)]"
Lee2011436,Efficient I/O processing scheme for flash memory storage systems,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[Efficient I/O processing scheme]-[Storage systems[general-hardware(Samsung Apollon)][rsee(Samsung Apollon board)]]-[Flash]
[context switch]-[N]-[specific]"
5695620,Unifying Buffer Replacement and Prefetching with Data Migration for Heterogeneous Storage Devices,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[buffer cache management algorithm]-[Storage Systems[storage Systems(storage system)][nf(not found)]]-[HDD&Flash]
[data migration&Prefetching]-[N]-[cscope&cpp&ps&sdet]"
8094270,Efficient Scheduling for Multi-Block Updates in Erasure Coding Based Storage Systems,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(UCODR)]-[Storage Systems[Storage Systems(storage system)][rsee(1s_8d)]]-[HDD]
[scheduling]-[N]-[MSR(User&Web&Proj&Ts&Rsrch&Mds&Hm)]"
7823804,Zero-Chunk: An Efficient Cache Algorithm to Accelerate the I/O Processing of Data Deduplication,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(Zero-Chunk)]-[Storage Systems[nf(not found)][ssee(DiskSim)]]-[Cache&Memory]
[data deduplication&caching]-[N]-[Homes-21&Web&Web Research]"
6665346,A New Metadata Update Method for Fast Recovery of SSD Cache,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(LUFUW)]-[Storage Systems[O.S.(Linux)][rsee(3s)]]-[SSD&HDD&RAM]
[caching&data management]-[N]-[SysBench&PostMark]"
6746410,A High Reliable and Performance Data Distribution Strategy: A RAID-5 Case Study,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(RPDD)]-[Storage Systems-RAID5[O.S.(Linux)][rsee(3d2sd)]]-[HDD&SSD]
[caching&scheduling]-[N]-[IOMETER]"
6649800,Dynamical Re-striping Data on Storage Servers in Parallel File Systems,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[Dynamical Re-striping Data]-[Storage Systems[File System(PARTE)][rsee(2c_9n_16n)]]-[HDD]
[data management]-[N]-[FOSS4G(PostGIS&GeoServer)&DDSM&BTIO]
"
6903496,Live Data Migration for Reducing SLA Violations in Multi-tiered Storage Systems,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(LMST)]-[Storage systems[Virtualization(VMware)][ssee(built simulator)]]-[HDD&SSD]
[data management]-[N]-[specific]"
6168954,Quasi-nonvolatile SSD: Trading flash memory nonvolatility to improve storage system performance for enterprise applications,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[quasi-nonvolatile SSD design ]-[SSD[emulator(DiskSim)][sd(DiskSim)]]-[SSD]
[data management&Scheduling]-[Y]-[Iozone&Postmark&SPC(Financial1&Financial2)]"
hutchison_towards_2014,Towards {Workload}-{Driven} {Adaptation} of {Data} {Organization} in {Heterogeneous} {Storage} {Systems},The paper focuses in another field instead I/O performance.,Rejected,[I/O?]
Bender:2012:DTC:2350229.2350275,Don'T Thrash: How to Cache Your Hash on Flash,The paper focuses in another field instead I/O performance.,Rejected,[I/O?]
Eslami:2015:EDS:2831244.2831249,Efficient Disk-to-disk Sorting: A Case Study in the Decoupled Execution Paradigm,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[optimized algorithm]-[HPC[nf(not found)][rhee(SUN Fire)]]-[HDD]
[Sorting(disk-to-disk)]-[N]-[CORAL&Stream]"
7980335,Using Locality-Enhanced Distributed Memory Cache to Accelerate Applications on High Performance Computers,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(LeCache)]-[HPC[O.S.(Linux)][rhee(Tianhe-1A)]]-[Cache&Memory]
[caching&memory concerning]-[N]-[IOR]"
6390191,A POMDP-based caching algorithm for RAM of steaming media servers,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(POMDP)]-[Storage Systems[nf(not found)][nf(not found)]]-[HDD&RAM]
[caching]-[N]-[specific]"
8489961,Redio: Accelerating Disk-Based Graph Processing by Reducing Disk I/Os,S2S-IO -Soft-2-improve-IO-on-Software,Accepted,"[(Redio)]-[Applications(graph)[Storage System]]-[HDD&SSD&Memory]
[disk concerning]-[N]-[Twitter&UK&Yahoo&GSH&Clueweb12&PageRank1&PageRank2]"
8048934,"AUTOBAHN: Accelerating Concurrent, Durable File I/O via a Non-volatile Buffer",,Duplicated,
6005430,PDRS: A New Recovery Scheme Application for Vertical RAID-6 Code,The papaer do not proposed a storage device solution to improve IO performance,Rejected,[I/O?]
Tomes20181840,Towards adaptive parallel storage systems,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[general framework]-[cloud[nf(not found)][ssee(DiskSim)]]-[HDD&SSD]
[parallelism]-[N]-[wdev&src2&rsrch&stg&hm]"
7255202,Direct device-to-device transfer protocol: A new look at the benefits of a decentralized I/O model,Doesn't mention the used device in the context(storage System or device),Rejected,[device?]
6232368,Mercury: Host-side flash caching for the data center,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(Mercury)]-[Flash Memory[Applications(KVM/QEMU)][rd(NetAppHDD)]-[Flash]
[caching]-[N]-[Microsoft(Exchange)&SPC]"
8122924,Neural network for saturation prediction of solid state drives,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[I/O saturation prediction method]-[SSD[nf(not found)][rd(IntelSSD)]]-[HDD&SSD]
[hardware concerning]-[N]-[FIO]"
6416101,Preemptible I/O Scheduling of Garbage Collection for Solid State Drives,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(PGC)]-[SSD[simulator(MSRsimSSD)][sd(MSRsimSSD)]]-[SSD]
[garbage collector]-[N]-[SPC(Financial)&Cello&TPC(TPC-H)&OpenMail]"
5762711,A semi-preemptive garbage collector for solid state drives,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(PGC)]-[SSD[simulator(MSRsim)][sd(MSRsim)]]-[SSD]
[garbage collector]-[N]-[SPC(Financial)&Cello&TPC(TPC-H)&OpenMail]"
8326295,Bandwidth-aware DRAM page migration for heterogeneous mobile memory systems,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(BAMM)]-[DRAM[nf(not found)][sd(McSimA+)]]-[DRAM]
[page management]-[Y]-[SPEC CPU 2006]"
6227449,A technique to improve garbage collection performance for NAND flash-based storage systems,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[a technique for reducing the data transfer overhead.]-[SSD[nf(not found)][sd(FlashSim)]]-[SSD]
[garbage collection]-[N]-[specific]"
6394297,Page Write-Related Sector Translation for Solid State Drivers,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(PRST)]-[SSD[simulator(Disksim-mv)][sd(Disksim-mv)]]-[SSD]
[page concerning]-[N]-[Postmark&IOzone&TPC(TPC-C)]"
8323007,Optimizing read and write performance based on deep understanding of SSD,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[mechanisms to prevent the shrinking of read/write request ]-[SSD[nf(not found)][rd(IntelSSD)]]-[SSD]
[shrinking]-[N]-[IOR]"
7116908,RADIR: Lock-free and wait-free bandwidth allocation models for solid state drives,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(RADIR)]-[SSD[nf(not found)][sd(nf)]-[SSD]
[I/O scheduling]-[N]-[MSR]"
7336235,Optimizing Emerging Storage Primitives with Virtualization for Flash Memory Storage Systems,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(ESP)]-[Flash memory[O.S.(Linux)][rd(FLASH_SDRAM)]]-[Flash&SDRAM]
[Flash memory]-[N]-[specific]"
5158405,Reducing Disk I/O Performance Sensitivity for Large Numbers of Sequential Streams,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[solution that dynamically adjusts I/O request streams]-[HDD[Storage System(nf)][sd(disksim)]]-[HDD]
[streams]-[N]-[xdd]"
You2019,Multi-token based Power Management for NAND Flash Storage Devices,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(MTPM)]-[Flash Memory[general-hardware(RTL)][sd(SynopsysPlatform)]]-[Flash]
[power]-[Y]-[SPC(Financial1&Financial2)&MSR&Web1&TPC(TPC-C)]"
6558444,Enabling cost-effective data processing with smart SSD,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(Smart SSD)]-[SSD[SSD-Component(SSD)][rd(SamsungSSD)]]-[SSD&HDD]
[Data Processing]-[Y]-[specific]"
abdelwahed_spatial_2018,Spatial {Batch}-{Queries} {Processing} {Using} {xBR}\$\${\textasciicircum}+\$\$-trees in {Solid}-{State} {Drives},S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[algorithms for processing common spatial batch queries]-[SSD[SSD-Component(SSD)][rd(SeagateHDD_SamsungSSD)]]-[SSD]
[tree]-[N]-[specific]"
8863523,Fair Down to the Device: A GC-Aware Fair Scheduler for SSD,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(FGC)]-[SSD[SSD-Component(SSD)][sd(Disksim)]]-[SSD]
[scheduler]-[N]-[FIOS&SPC(Financial1)&MSR(WebSearch1&Exchange2&Exchange3)]"
8246824,An advanced SLC-buffering for TLC NAND flash-based storage,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[An advanced SLC-buffering]-[Flash Memory[Flash-Component(Flash)][rd(OpenSSD)]]-[Flash]
[data management]-[N]-[FIO&Filebench&Sysbench]"
jin_read/write-optimized_2016,Read/write-optimized tree indexing for solid-state drives,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[tree index]-[SSD[data(datafile)][rd(OCZSSD_IntelSSD_SeagateHDD)]]-[SSD]
[buffering]-[N]-[TPC(TPC-C)&BenchmarkSQL]"
7979881,Hitchhike: An I/O Scheduler Enabling Writeback for Small Synchronous Writes,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(Hitchhike)]-[HDD[O.S.(Linux)][rd(nfHDD)]]-[HDD]
[Scheduler]-[N]-[Filebench]"
He2016237,MGPA: A multi-granularity space preallocation algorithm for object-based storage devices,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(MGPA)]-[OSD[File System(EBOFS)][sd(nf)]]-[HDD]
[OSD]-[N]-[specific]"
sun_exploiting_2014,Exploiting {Content} {Locality} to {Improve} the {Performance} and {Reliability} of {Phase} {Change} {Memory},S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(CA-PCM)]-[PCM[simulator(PCMSim)][sd(PCMSim)]]-[PCM]
[Deduplication]-[N]-[FIU(Homes&Mail&Web-vm)]"
5984840,A cache management strategy to replace wear leveling techniques for embedded flash memory,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(C-lash)]-[SSD[simulator(FlashSim)][sd(FlashSim)]]-[Flash&SRAM]
[page mapping]-[N]-[specific]"
8855576,The New Copy File Command Parser for NVM Devices,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(NVCP)]-[SSD[simulator(PMEM)][sd(PMEM)]]-[SSD]
[data management]-[N]-[specific]"
Wang20123757,A Quasi-cyclic LDPC-coded fine-grained data reconstruction algorithm for storage system,the paper is not acessible,Rejected,
8890202,Pattern-based Write Scheduling and Read Balance-oriented Wear-Leveling for Solid State Drivers,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[pattern-based I/O scheduling mechanism]-[SSD[simulator(SSDsim)][sd(SSDsim)]]-[SSD]
[I/O scheduling]-[N]-[MSR(proj_0&Random server_1&Random server_2&Random server_3)]"
8537690,Improving I/O Performance of Large-Page Flash Storage Systems Using Subpage-Parallel Reads,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(SPread)]-[SSD[general-hardware(DRAM-SSD)][sd(DRAM-emulated SSD)]]-[SSD]
[Page Read]-[N]-[FIO&KV&GRP&PRJ&USR&STG]"
Lee20132141,BAGC: Buffer-aware garbage collection for flash-based storage systems,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(BAGC)]-[SSD[simulator(built simulator)][sd(built simulator)]]-[Flash]
[garbage collection]-[N]-[Bonnie++&Tiobench&Postmark&Iozone&PC&Mobile]"
5170338,TPL: A Data Layout Method for Reducing Rotational Latency of Modern Hard Disk Drive,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(TPL)]-[HDD[simulator(Disksim)][sd(Disksim)]]-[HDD]
[data management]-[N]-[specific]"
7429291,NVMMU: A Non-volatile Memory Management Unit for Heterogeneous GPU-SSD Architectures,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(NVMMU)]-[Storage Systems[Storage Systems(Storage System)][rsee(1G_2sd)]]-[SSD]
[memory management]-[Y]-[Ploybench&Mars&Rodinia&Parboil]"
7857739,Implicit Programming: A Fast Programming Strategy for nand Flash Memory Storage Systems Adopting Redundancy Methods,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(Implicit Programming)]-[Flash Memory[general-hardware(Xilinx Zynq)][rd(Micronflash)]-[Flash Memory]
[redundancy]-[N]-[IOMeter]"
hutchison_can_2013,Can {SSDs} {Help} {Reduce} {Random} {I}/{Os} in {Hash} {Joins}?,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(CGHJ)]-[Storage Systems[nf(not found)][rsee(1m_1d_1sd)]]-[HDD&SSD]
[hashing]-[N]-[TPC(TPC-H)]"
8515727,LCR: Load-Aware Cache Replacement Algorithm for Flash-Based SSDs,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(LCR)]-[SSD[simulator(DiskSim)][sd(DiskSim-mv)]]-[SSD]
[caching]-[N]-[MSR(web_O&ts_O&proj_0&wdev_2&Financial2)]"
6855545,CBM: A cooperative buffer management for SSD,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(CBM)]-[SSD[SSD-Component(SSD)][sd(DiskSim-mv)]]-[SSD]
[buffering]-[N]-[SPC(Financial)&Microsoft(MSNFS&Exchange&CAMWEBDEV&Syn)]"
5590567,Minimizing the Response Time of a Striped Disk Array,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[striping unit method]-[HDD[nf(not found)][nf(not found)]]-[HDD]
[hardware management]-[N]-[specific]"
kang_flash_2016,Flash as cache extension for online transactional workloads,S2S-IO -Soft-2-improve-IO-on-Software,Accepted,"[(FaCE)]-[database(Postgrees)[Postgrees]]-[HDD&SSD&RAM]
[caching]-[N]-[TPC(TPC-C)]"
boumerdassi_toward_2015,Toward {Scheduling} {I}/{O} {Request} of {Mapreduce} {Tasks} {Based} on {Markov} {Model},S2S-IO -Soft-2-improve-IO-on-Software,Accepted,"[approach for optimizing write access]-[Applications(Mapreduce)[node]]-[HDD]
[scheduling]-[N]-[Terasort&Wordcount]"
20164803056791,A variable-sized stripe level data layout strategy for HDD/SSD hybrid parallel file systems,S2S-IO -Soft-2-improve-IO-on-Software,Accepted,"[(SLDP)]-[File System(PVFS2)[PVFS2&ROMIO]]-[HDD&SSD]
[data layout]-[N]-[IOR&BTIO]"
8445131,Compressive Sensing on Storage Data: An Effective Solution to Alleviate I/0 Bottleneck in Data- Intensive Workloads,ARCHITECTURE,Accepted,"[Software and hardware accelerators of OMP reconstruction]-[(Big data)[rsee(1s)]]-[Memory]
[data management]-[N]-[BigDataBench]"
8411015,Toward Scalable and Asynchronous Object-Centric Data Management for HPC,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(PDC)]-[HPC[nf(not found)][rhee(Cori Cray XC40)]]-[HDD&SSD]
[data management]-[N]-[VPIC&BDCATS&specific]"
7396477,Active Storage Mechanism for Cluster-Wide RAID System,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[write operation of the cluster-wide]-[Storage Systems[Storage Systems(Storage System)][rsee(nf)]]-[Memory]
[data management]-[N]-[specific]"
20170903384274,AutoReplica: Automatic data replica manager in distributed caching and data processing systems,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(AutoReplica)]-[Storage Systems[Virtualization(VMWare)][rsee(1s)]]-[HDD&SSD]
[Data Replica]-[N]-[SLA&Temp]"
HUANG2018339,NVHT: An efficient key–value storage library for non-volatile memory,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(NVHT)]-[NVM[Applications(nf)][nf(not found)]]-[DRAM&HDD]
[hardware concerning]-[N]-[Redis&LevelDB&BerkeleyDB]"
8634948,A Flash-Based SSD Cache Management Scheme for High Performance Home Cloud Storage,ARCHITECTURE,Accepted,"[(HyU 2Level-LRU)]-[(cloud)[rsee(1d1sd)]]-[HDD&SSD]
[caching]-[N]-[SPC(Financial)&mail&HM]"
6413673,iROW: An Efficient Live Snapshot System for Virtual Machine Disk,,Duplicated,
7350117,Triple-L: Improving CPS Disk I/O Performance in a Virtualized NAS Environment,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(Triple-L)]-[cloud[Storage Systems(NAS system)][rsee(1s)]]-[HDD]
[file management]-[N]-[Iometer]"
7823852,Evaluation of Flash-Based Out-of-Core Stencil Computation Algorithms for SSD-Equipped Clusters,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[Three algorithms flash SSD, DRAM,cache]-[Storage Systems[Storage Systems(Storage System)][rsee(3c_40n)]]-[DRAM&M.2(NVMe)&SSD&cache]
[data management]-[N]-[specific]"
8026855,DualStack: A High Efficient Dynamic Page Scheduling Scheme in Hybrid Main Memory,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(DualStack)]-[SSD[general-hardware(DRAM)][sd(GEM5_NVMain)]]-[DRAM&PCM]
[page management]-[Y]-[SPLASH-2(FFT&LU&RADIX&RAYTRACE)]"
6923498,A 1.2 V 8 Gb 8-Channel 128 GB/s High-Bandwidth Memory (HBM) Stacked DRAM With Effective I/O Test Circuits,H2H-IO -Hard-2-improve-IO-on-Hardware,Accepted,"[4-Hi high core DRAM stacked DRAM and base logic die]-[chip-on-wafer]-[DRAM]
[memory concerning]-[Y]-[specific]"
hutchison_dl-dedupe:_2013,{DL}-{Dedupe}: {Dual}-{Level} {Deduplication} {Scheme} for {Flash}-{Based} {SSDs},S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(DL-Dedupe)]-[SSD[simulator(built simulator)][nf(not found)]]-[SSD&DRAM]
[deduplication]-[N]-[FIU(homes&web-vm&mail)]"
PARK2010208,Buffer flush and address mapping scheme for flash memory solid-state disk,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[Buffer flush and address mapping scheme]-[SSD[simulator(built simulator)][sd(built simulator)]]-[SSD]
[block mapping]-[N]-[Iozone&Desktop&pcFAT32&pcNTFS&InternetExplorer&JPEG File Copy]"
Li20143159,NDM-cache: A network cache for cloud computing system,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(NDM-Cache)]-[Cloud[Storage Systems(Storage System)][rsee(9s)]-[Cache]
[caching]-[N]-[specific]"
mei_exploiting_2019,Exploiting flash memory characteristics to improve performance of {RAIS} storage systems,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(RAISL)]-[Storage Systems-RAIS[simulator(Disksim)][ssee(Disksim)]]-[SSD]
[hardware concerning]-[N]-[MSR(mds_0&rsrch_0&rsrch_2&src2_0&stg_0&usr_0&wdev_0&hm_0&proj_0&proj_3)]"
zhou_prober:_2016,Prober: exploiting sequential characteristics in buffer for improving {SSDs} write performance,S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(Prober)]-[SSD[simulator(SSDsim)][sd(SSDsim)]]-[SSD]
[data management]-[N]-[specific]"
8560323,An Online Data Deduplication Approach for Virtual Machine Clusters,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(Slim-VMC)]-[Cloud[Virtualization(Qemu)][rsee(4s)]]-[HDD]
[memory management]-[N]-[Linpack]"
20124015531994,Design of a new high performance storage method,ARCHITECTURE,Accepted,"[(IND)]-[Storage System[rsee(1m)]]-[Memory]
[isomorphic units]-[N]-[specific]"
Shi:2017:STS:3079079.3079087,SSDUP: A Traffic-aware Ssd Burst Buffer for HPC Systems,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(SSDUP)]-[HPC[File System(OrangeFS)][rsee(1c_10n)]]-[SSD&HDD]
[burst buffer]-[N]-[IOR&HPIO]"
xu_log-compact_2011,Log-{Compact} {R}-{Tree}: {An} {Efficient} {Spatial} {Index} for {SSD},S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(LCR-tree)]-[SSD[nf(not found)][rd(ADATASSD)]]-[SSD]
[tree]-[N]-[specific]"
yang_efficient_2016,Efficient {Buffer} {Management} for {Tree} {Indexes} on {Solid} {State} {Drives},S2H-IO -Soft-2-improve-IO-on-Hardware,Accepted,"[(CFDRW)]-[SSD[Applications(B+-Tree)][rd(OCZSSD_IntelSSD)]]-[SSD]
[buffering&tree]-[N]-[Iometer]"
8091092,Hybrid flash arrays for HPC storage systems: An alternative to burst buffers,ARCHITECTURE,Accepted,"[(NytroXD)]-[(HPC)[rsee(1s)]]-[SSD&HDD]
[burst buffer]-[N]-[IOR&HYDRA&COSMO]"
5681112,An efficient garbage collection for flash memory-based virtual memory systems,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(DA-GC)]-[Storage Systems[nf(not Found)][ssee(built simulator)]]-[FLASH&SDRAM]
[garbage collection]-[N]-[Valgrind toolset(acrobat&gqview&kword&mozilla&office)]"
8416844,GraFBoost: Using Accelerated Flash Storage for External Graph Analytics,ARCHITECTURE,Accepted,"[(GraFBoost)]-[(Storage System)[rsee(1s)]]-[Flash&DRAM]
[hardware concerning]-[Y]-[twitter&kron28&kron30&kron32&wdc]"
7079025,PSA: A Performance and Space-Aware Data Layout Scheme for Hybrid Parallel File Systems,S2S-IO -Soft-2-improve-IO-on-Software,Accepted,"[(PSA)]-[File System(OrangeFS)[OrangeFS]]-[HDD&SSD]
[data management]-[N]-[IOR]"
Kim20103017,PAW: A pattern-aware write policy for a flash non-volatile cache,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(PAW)]-[Storage systems[Simulator(built simulator)][ssee(built Simulator)]]-[HDD&flash]
[caching]-[Y]-[specific]"
5590534,Intelligent Data Prefetching for Hybrid Flash-Disk Storage Using Sequential Pattern Mining Technique,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[two level intelligent prefetching technique]-[Storage Systems[simulator(built simulator)][ssee(simulator)]]-[HDD&Flash]
[prefetching]-[N]-[UCC&SYN]"
7111323,VMCD: A Virtual Multi-Channel Disk I/O Scheduling Method for Virtual Machines,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(VMCD)]-[Cloud[Virtualization(Xen)][rsee(2pc)]]-[HDD&SSD&RAM]
[virtualization]-[N]-[specific]"
Yang20181,AutoTiering: Automatic data placement manager in multi-tier all-flash datacenter,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(AutoTiering)]-[cloud[Virtualization(VMware)][ssee(VMware)]]-[SSD]
[data management]-[N]-[IOMeter&Fio&specific]"
8855459,DLS: A Delay-Life-Aware I/O Scheduler to Improve the Load Balancing of SSD-Based RAID-5 Arrays,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(DLS)]-[Storage Systems-RAID5[nf(not found)][ssee(built simulator)]]-[HDD&SSD]
[scheduling]-[N]-[SPC(Financial1&Financial2)&WebSearch1&WebSearch3]"
6413495,An instances placement algorithm based on disk I/O load for big data in private cloud,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(FFDL)]-[cloud[Framework(Openstack)][rsee(8n)]]-[HDD]
[load balancing]-[N]-[OpenMPI&Bonnie++]"
20190406418326,A prefetching scheme for multi-tiered storage systems,S2SS-IO -Soft-2-improve-IO-on-Storage-Systems,Accepted,"[(CLAP)]-[Storage systems[O.S.(Linux)][nf(not found)]]-[HDD&SSD]
[prefetching]-[N]-[Postmark&specific]"
